review_features,hotel_score
The location of the place is just perfect. City is very easier to accesses to. The staff speaks good English and are willing to help. The collection of keys is easier. Cleaniness could have been better Breakfast offering was not good. It lacked the variety It was really expensive. Wifi speeds are not that great. Some days it didnt even work,5.4
Situated close to parking and city center ,6.7
 No shampoo shower gel slippers and cleaning service.,7.1
the place was newly redecorated. It looks great. ,10
Great hotel at top location. Lots of parking possibilities and beach right behind hotel. Room was perfect for our stay and special requests very well handled by staff. Breakfast was one of the best I have ever seen. Conclusion value for not so much money! We live in crazy times during the Corona pandemic and staff needs to maintain all safety matters for our health. It seemed the breakfast procedure was understaffed. All respect and thanks to the man in charge Geert who kept it all going on.,9
Breakfast was tremendous. We had little misunderstanding between staff but they were taking quick action to fixed that. The room was perfect clean equiped very well. materials in the room tea coffee etc. was in a good quality. I would stay again there for my next travel.I love the way how they decorated the hotel and room. ,10
great location very clean rooms great breakfast ,9
Location was very good  Rooms very nice and clean Good facilities. The pillows were a bit strange and not very comfortable A more traditional type of pillow would be a nice option to have.,8
The location of this place is very convenient - its almost on the seaside. If you need parking I would recommend taking Indigo - Parking Zeedijk - its located just over the corner (though the price for 1 day there is 25 EUR - the same as Indigo Kursaal / Centrumparking which is overpriced from my point of view). The staff in the hotel was very friendly (both - at reception and in the dining area). Anti-coronavirus measures are everywhere and when I entered my room there was a huge bottle of sanitizer on the table. The room was clean quite cozy with a kettle coffee machine and a mini-fridge. That was a very comfortable stay and I can surely recommend this hotel to everyone. I have nothing to complain on because everything was great!,10
The staff was really nice and kind. The room was really nice decorated. The breakfast was adjusted very smart considering the Corona virus. The mattress cover kept sliding down,10
I had an amazing stay the place was spotless and cosy. Great and complete breakfast.Staff super nice and friendly. Great location! Sad that the spa was closed because corona.,9
The breakfast is really good plenty of options. Just the croissant was not fresh so I skipped it. The bed is amazing comfortable  and the room is nicely decorated. ,10
Very good location very good breakfast and staff was very nice and helpful! Everything was very good!  Nothing,9
Good location comfortable beds clean rooms and nice interior. The room and bathroom layout was not super practical. For example when you open the door you directly walk into the side of the closet and in the bathroom there is not enough place to put cosmetics and shower products.What was really disappointing is that the hotel closes at 10pm and there is no receptionist till early morning. You can enter the hotel with the room card but the first night of our stay it broke down (the system to swipe the card) and we could not enter the hotel with other guests for almost an hour. Even more disappointing is the fact that we did not receive any apology from the management which is unacceptable for a 4 starts hotel.,8
Proper COVID measures without too much inconvenience. Breakfast system (pick up food from buffet table and bring to your room on a tray) works super well! ,9
Clean and cozy room. The breakfast was amazing. Nice and proffesional staff. For a growing businessyou cant go wrong with this kind of employees. I will come back again for sure.The wifi is included and strong. ,10
Very nice hotel in good position close to the sea and centre of city. Lack of restaurant.Only breakfast are served.,9
Comfy bed spacious shower and the location was amazing. Close to beach but also to bars restaurants and shops The ac is a little loud but thats not the hotels fault,9
Great place! Amazing space and wonderful location ,10
A very nice and stylish apartment the location is amazing. The communication with the manager Camille was perfect. the smell of the vegan cafe ..,9
The location is great. Nobody to inform you at the arrival how to get in !! (Hopefully I Found the managers phone on the website so after 5 calls and 2 messages I could be in touch with her to have to codes to get in). The appartement is nice but without any basical accessorize (no handsoap !! that is absurd even for the cheapest hotels). Apparently previous guests already made this remark but the host negliged these details. Very upsetting. ,5
The builiding is beside the river and very good location in the historic city centre. 2 minutes walke to Tram 1/2 station which connected with Gent Sint Pieters station directly. The space is high and spacious with good decorated nice host. ,9.2
Very nice apartment just next to our conference building. Excellent location for sightseeing and nice walks along the river. ,8.8
Great location and spacious clean apartment. Wifi didnt work so well around the house,10
The A/C in the bedrooms was most welcome during the heat wave. ,9.6
 No hooks in the bathroom to hang up towels whilst taking a shower,7.9
Location design and lay-out. Heating was dysfunctional. Dishes were not clean. Light bulbs defective.,5
The central location is great. Our host Camille was very quick to respond to any requests. Apartment is well heated and spacious. Great place to use as a base. Was missing a few simple things. Iron and ironing board but Camille did organise one from the other apartment. Buy another one guys! Blind in the back room needs a bit of attention (strings are just tangled which is typical of those blinds so couldnt get it down) but wasnt a big deal.,8.8
The apartment is in excellent location. Spacious and bright. Communication was poor. For several weeks we did not get a confirmation as to which apartment we actually booked. This was irrespective of repeated messages and even a phone call. The answer came on the day of arrival. We had to ask for check-in instructions several times as well. Two towels were dirty. There was no soap by the sink in the bathroom so we used the shower gel from the shower. No kitchen towel. One bulb cover needs fixed in the bathroom and lots of empty nails on the walls. Despite that we found everything else we needed and had a good stay.,8
very nice owner.! showed me where I should park privately.  patiently and friendly! more than nice apartment luxury!if I be back in gent again I will book by Camille again! ,10
Location No Iron and Ironing Board when requested still did not delivered. Arrived late no water or some small welcome amenity milk and tea should be available small quantity for the first night some lights not working also.,4.5
Location. Design. Space.  Camille is amazingly friendly and helpful Owen ,10
 I didnt like that we had to park our car so far away.,7.5
Swimming pool is amazing. Better at night as pools are outside in some cases. Open til 9pm so that was good to fill up the evening. Rooms are adequate for what we need. Cycle routes outside the camp are fantastic. ,9.6
Nothing Everything the staff was rude and racist ,2.5
Very friendly and helpful stuff. Great holidays for parents and children. Aquadrom make you fell like a child again on all the slides.  The house has all the equipments needed next time we will bring more towels on our own. I booked via booking.com because the centerparcs website always showed an error when I wanted to proceed to paying.   With my booking.com reservation number I wasnt able to use the center parcs app to make reservations for activities I always had to book at reception. No big deal but probable easy for the IT guys to fix.,8.8
swimming pool animal enclosures blonde at the reception very unkind and not helpful at all.  At the reception you can buy fire starters made with petroleum (for barbecue use) which causes an awful smell in the air everywhere. Instead start selling or using bio block fire starters without offensive odours.  Very stingy with toilet paper.,5
 Car park so far away when we had to carry big bags every day to car,6.3
Swimming pool was good Childrens play area was good.  Distance from the villa to the centre was great There was a 24hr shop but only stocked beer and snacks. We arrived at 21:00 through no fault of our own (traffic) and we had a child with us. We could have done with some basics for a quick meal - bread milk butter ham/cheese or eggs. Staff were rude Villa didnt have half the beds made and only supplied 2 towels for our family of 4 The Evergreens restaurant all you can eat is way too expensive not to include drinks in the price.,5.4
Accommodation was clean and in a nice setting. Aqua Mondo was great Staff were nice and there were plenty of playgrounds for the kids to use. The food served in the restaurants was quite expensive and not great quality. There also seemed to be a lot of cars on the site which made it difficult to cycle with the kids. We couldnt use any of the booking reference provided to us on the Centre Parcs APP which meant we could not pre book any events bikes etc. This turned out to be quite a negative as a lot of the things on offer such as rock climbing and hiring bikes where fully booked by the time we turned up.,7.5
The location is wonderful and the whole park is very pleasant. Overall it was good value for money. There was no air-conditioning and it was very warm when we visited. Could have been cleaner overall in the cottage. Perhaps nets on the windows would be beneficial to keep insects away.,8.3
Very nice vip room with sauna amazing range of activities indoor and outdoor  The staff seems tired and fed up..,9
swimming pool hotel is very old and not up to modern standards,4.6
Facilities were amazing staff lovely We had a huge leak and ruined kids clothes kids had to sleep in lounge area as smelt for a couples of days. So need to take this further as although was sorted no compensation sorted for the first few days ruined!,5.4
There were so many activities to choose from and the pool was fantastic - the children were in every day. The farm smell outside our lodge. It was a very long walk to get something the children left in the car.,8.3
 The villas were not cleaned daily not well maintained and cheap uncomfortable beds.,2.9
Staff were friendly and helpful Restaurant Fuego and Evergreen were seriously overpriced for what you received,8
Pool is great location/setting is lovely  We were turned away by 2 restaurants as they said they were closed while they were still both half full of peopleWe were thus forced to eat in the restaurant where the entertainment was on. It was way too loud even when sitting in the back. Rooms was very old clean but scruffy because of the fittings,6.3
 Tried to change dates over a month before. Accommodation available but Center Parcs totally inflexible. Booking.com also inflexible. Both companies blaming each other for not being able to change booking. Feel like wed been scammed. Not using either ever again.,1
Amazing facilities and caters for all ages as we had a 7 year old and a 70 year old in our party! The activities were easy to book on the day and the aquamundo and discovery bay were fantastic. The patio area was overgrown and it wasnt particularly pleasant to sit out.,8.8
NIce apartment and outdoor area and close by swimming pool. ,9.6
I liked the location and the access to many different activities. The cottage was also spacious. The staff was very friendly. The water park and discovery park were awesome and my toddler really enjoyed herself. Us parents also enjoyed all the activities. The food at all of the restaurants was not the best. Some of the extra activities were too expensive considering the price that was already paid to stay. The cottage also got very hot on some days and because there are no screens in the windows we could not just leave the windows open to get some air.,7.5
The room was spacious with a balcony to enjoy a coffee in morning overlooking the lake. Spacious double sink bathroom which was very clean. I loved the fact that we had a mini fridge in the room. Close to the swimming pool (market dome) fabulous breakfast with lots to choose from. Even though we had a fridge in the room it did not work properly. So drinks werent kept cold. In my father in laws room the fridge however did work.,9.2
Excellent room with a great bed nice chairs a lovely desk at a window comfy carpeting a great bathroom. Everything extremely clean and well kept. Common living-room extra cozy. Great hosts altogether. The bathroom in our room had a curtain instead of a door. Not a big problem given the size of the bathroom and room but a door would be a bit better.,10
Nice place very nice lady who gives you all info you need .Clean room nice breakfast and coffee.You are in centre of the city practically.I recommend it to all my friends. ,10
Quiet yet very convenient for Bruges centre. Excellent hosts. Nothing,10
This is probably the nicest B&B weve stayed in.  Katrien was a phenomenal host going way out of her way to make sure our stay was truly memorable.  The room was very well appointed very comfortable and everything seemed like it was just built yesterday.  Breakfast was fantastic with a different assortment all three mornings we were there.  The B&B is located about 1 minute from the inbound bus stop and less than 5 min from the outbound bus stop making getting back and forth to the train station simple. Absolutely nothing,10
Spacious clean and comfortable with great staff. Breakfast was very good and the location was quiet. ,10
Experience totally in line with the attractive description ! Stayed for 2 nights with my spouse. We will gladly repeat. Large room huge bathroom & shower. Very quiet neighbourhood abundant street-parking available in front of the door to get the luggage in/out (although expensive to stay parked there - as in all of the inner city - parking on the belt is free and 5-10 min walk) Close enough to historical city-center to walk - far enough to use different ways and to find non-tourist bars and restaurants in the area. Very warm welcome and great breakfast daily prepared & warm buns/croissants. Fresh water/coffe/thee available and trusting (affordable) self-service bar at disposal all day/night. ,9
Beautiful house finished to a high standard and fresh local produce served for breakfast. Katrien is very warm and welcoming and nothing was too much trouble. Fantastic location on the edge of the centre with a lovely 10 minute walk to the main square. ,10
Beautiful apartment with the best hostess! -,10
Katrien is a wonderful host and provided lots of helpful information about Bruges. The breakfast was the best weve had on our 6 week holiday. Would highly recommend Central Bruges B&B.  ,10
Everything. The hotel was beautiful. Modern quirky. In a great location close to everything.  Breakfast was really lovely with such a nice personal touch. Katrien is very welcoming and Was so helpful with lots of recommendations. My only recommendation would be to make the breakfast go on a bit later. Being up and out early is great but its also nice to have a bit more of a lazy morning when youre away on your holidays.  check out would also be better if it was a little later.,10
Appartement house is located very close to the city center of Brugge. 5 min walking. It is located in a quiet neighborhood and the rooms are very clean and well equipped.  Breakfast was good and the host was very attentive and friendly. We had a great stay and would definitely come back. Nothing.,9
Everything was super (location breakfast room)! Katrien is a really nice person. :) Nothing! Maybe for me the mattress was a bit too soft but of course it depends on you :),10
Fantastic variety at breakfast: fruit yoghurt juice eggs homemade bread and pastries. The house was spotless and Katrien helpful and friendly. ,10
Wonderful interior its like taking a pleasant trip back in time.  Great service and friendly host. Very clean.  ,10
Everything was amazing Katrien is an amazing host. We truly felt at home and well cared ,10
Theres a lot of B&B accommodation in Bruges but this is a gem quietly located and beautifully appointed. Super large room great facilities and a lovely breakfast. Easy check in and Katrien could not have been more helpful or accommodating. Some nice touches here and great value for money. Nothing.,10
Amazing host always there to answer our questions. Also we must say breakfast was really good . Would recommend and would go back ! ,10
This experience is truly one of the box.  From the moment you arrive to the moment you leave you feel relaxed and at home.  Katrien is at the heart of it all - a truly lovely person who really cares about her guests.  The breakfasts are just as beautiful as the reviews say.  We chose this accommodation based on the rave reviews and now we see why.  A real gem - thanks so much. Nothing at all.,10
A beautiful home in a quiet area just 15 minutes walk from the city centre. Plenty of restaurants within walking distance. Katrien was a fantastic host  providing plenty of information on what to do whilst in Bruges and her attention to detail was amazing. The breakfast was awesome too! Would definitely stay here again and recommend to anyone.  Nothing.,10
Comfy beds Big towels Friendliness and helpfulness of Katrien Facilities ,10
The check-in was fast and easy the room was clean and well prepared. The breakfast was with a wide choice tea coffee and fresh fruit available throughout the whole day. Easy to park before the house and free parking available within 10 minutes walk. The city center is very close within 10 min walking distance. The host Tatjana was very helpful and was happy to assist in case of any questions available as well by phone through the whole day. We will definitely come back in Christmas time for another weekend :) ,10
I absolutely loved the location when the central train station is across the street and the center of the city is in a walking distance. People were very friendly and helpful. We needed to sort out a quite complicated issue with the payment for the room (which was about to come from the university) and the manager assisted us with every detail. The wi-fi was actually much better than the last time a few years ago. And this time we also got two bonuses -- a fridge and a scenic view on the city roofs from our bathroom :) The wi-fi access was sort of strange. Many websites were inaccessible. There was no shower handler in the bathroom.,9.6
In general everything is very wrost Rooms very small bed too also very bad WiFi even breakfast very poor,5
I havent had breakfast. A more thorough cleaning and an air freshener wouldnt be wrong.,7.1
Good value for money clean room and clean bathroom lovely breakfast. Perfect location close to Central Station. Nothing.,9
Location was good. Low prices. Easy staff. The towels had stains of make-up from earlier guests. Some rooms did not have a good functioning shower.,4.6
The location is realy good 200m from antwerp central statoin. The bads is really bad good that i stay 1night was hard to sleep.carpet in the corners ir realy dirty and there is no air conditioner had to make the perfect temperutire for your selft.staff ho work there is not so frindy and all the time rude,4.6
location shower door had no seal  towels on carpet outside toilet to dry the carpet so staff knew about problem but door was never fixed.,5.5
Very close to central train station. Walk to restaurants and sightseeing. Good place to stay ,8.8
Very close to train station in diamond district. I loved the main alsquare and the churches and cathedral. I loved the pedestrian street. I loved how easy it was to get around and the lack of traffic and busy roads compared most to Brussels. I liked everything,9
It was very dirty and small we booked for 2 nights and did not stay because there was a lot of staining on the mattress which we think was blood and urine the mirror was missing a large chunk and it was the same in my friends room also the carpets and walls were very dirty and the pillows were stained yellow .health and safety need to check this out Everything It needs to be totally refurbished or closed Its not safe to sleep there Health and safety issues Nothing like their website photos at all .totally misleading,1
The best place coming from the railway station friendly welcome at this time of the year even a choice of the floor (as I prefer to take the staircase) a good breakfast The shower wasnt cleaned!!,9
Location is excellent. Breakfast is decent. Good value for money. The smell of sewers was really obnoxious.,7.5
It was perfectly adequate and offered excellent value for money. Rooms are Clean beds & bathrooms are OK. I was at the rear on a higher floor and it was quiet enough. I would consider staying here again. The rooms are a little small and dark.,7
Big spacious room. Not the cleanest place in Antwerp but still okay. Been there before and would go again. ,7.1
Location is awesome Beds werent comfortable at all. Mattress felt quite hard. Shower was very small and also a bit uncomfortable. No decent small shampoos. Just  a shower + shampoo-in-one plastic pack,6.3
Great location for the station and jewellery shops We had to try three key cards to get into our room on the seventh floor before we were given another room with a key card that worked in the door.,10
Location is superb. Bathroom is very clean. Rooms are old. Carpet surfaces and armchairs are not very clean.,8.8
 It was handy to be near central station but too noisy,3
The location was really nice one minute walk from the train station and not far from city center. The bed was comfortable and the room very comfy and clean. Staff friendly although we didnt have any special requirement or contact with them. The road was busy and the isolation of the room did not allow us to sleep without any noise. I must say that I woke up a couple of times due to this but again no super noisy.,8.3
City location breakfast Street noise no air con,5.8
size cleanliness and location just across from the station. Good if you are on foot with a bag. no tea/coffee or kettle. That would have been a good provision.,8.3
 Extended with one night and the price went up 300%.  For the same room... Almost criminal to ask that much money.,9.2
A fine hotel for one or two nights. Only spent the night there so I couldnt tell something about the restaurant but the rooms were clean and tidy. Nice showers. Close to the center. Didnt like the neighborhood but the hotel cant help that,7.5
 Its a little old but thats the bad only thing. And for the price thats ignorable. ,10
This is a very conveniently located hotel with very friendly staff clean comfortable rooms and a good breakfast My one gripe on the continent - no tea or coffee making facilities in the rooms,9.6
Good central location across from railway station Although a good location very noisy outside from  railway station and early morning revellers!,7.9
Awesome hotel with nice location near the center ))) ,10
Location was great just near the station. Good WiFi. Single room was a fair size for a single. Was a large impersonal hotel. Carpets were quite stained and dirty. Restaurant they claimed to be open every night was not on the night I tried to eat there and the night b4 was booked for a group.,7.9
comfy bed great evening meal. can not think of anything you could have done better .,10
Great location but over experience is poor. The furniture was old. There were unscrewed bolts showing from one of the the beds. The bathroom in general was clean except the bathtub which was  unusable. Most surfaces were dusty. A lot of dust in the room in general. The carpet had stains. In a room with 4 beds there were only 2 electric outputs - one of them next to the door. Only one of the four people at the reception actually was helpful. Cleaning lady did not come to clean the room when we put the sign but everyday at about 4pm while our baby was sleeping - so no one cleaned the room for four days though she offered change of towels every time. ,2
The hotel was just across the train station and round the corner from pubs restaurants and shops.  The receptionists were always very helpful with providing information we required to get around Antwerp. The room was warm and the heated bathroom flooring was awesome :) Very clean rooms! We left our luggage in the luggage room until it was time to check in no tags no checking who took what and which.  Not secure at all..,8.3
Amazingly for its tiny size the room had all the essentials (except for a fridge) even a table with 2 chairs. Location is perfect for me - literally right across the central train station. Its a bit noisy with windows open but I am not bothered by that Wifi didnt work at all. I stayed only one night so didnt bother trying to talk with the staff about it. Signal was good but there was no internet - its possible that it could have been fixed by the staff. The room was tiny and there was no fridge. Windows cant be fully opened - only tilted,7.1
Ideal location next to Antwerp Central Station Common areas could do with a lick of paint but my room & shower facilities etc were clean and the bed was comfortable. The shower worked well.  There was a good selection of items included in the buffet breakfast.  The staff were very pleasant and extremely helpful As ever on the continent there were no tea/coffee making facilities in the room,9.6
Perfect for price and location! No hairdryer in the room,9
They gave out my booked room to someone else. ,5.8
It is close to the Central station and we could walk to quite a lot of attractions and did not have to make use of public transport.  The staff was very friendly and helpful. I hated the twin beds.  Not the fact that they were separate but the fact that the mattresses are so light and with every turn it would move which meant you spent mos of the night trying to keep the mattress on the base.  The mattress was  also stained and it just did not seem that clean to me.,4
This was  the nastiest hotel I have seen anywhere and for bookings.com to advertise it is pathetic.do you not ever research the properties you advertise on your site? We had four rooms booked for 8 total people and we everyone arrived two of the rooms were so deplorable our friends went next door to the Hampton Inn we kept two rooms but the hotel had the audacity to charge us for all rooms anyway to which I will dispute with my card company. I plan on never using booking.com to book rooms as the standards are less than adequate to say the least! A completely different hotel!,3.8
Nothing Beds were not made and the room was filthy. The maid wanted to argue with us that sheets were clean even though there was hair on them. Disgusting room.,3.8
Good location big beds.  Room wasnt clean when we arrived (rice left of the table and marks in the bathroom. ),5
Location Staff and service! After 01 am they put the light of and they close the doer you have to call via the bell and wait in that could till they open the doer!There must be another way to get in without calling staff! And the next doer in the middle of the night they were making noises I also enjoy the weekend but I feel and respect around me!,5
Location is near the station and shopsonly a few meters away. Very slow wifi connection.im sorry but our room was not so clean or maybe it is because the hotel is old alreadysame age as the room carpet and the smell of our room is not that pleasant.good that we only stayed there for only a night.,5
I Very clean room. Location was great. Very good price The hotel was the bare minimum. Not beautifully designed no bath tab and no great view.,6
Very central good value for price. Clean and tidy. Unpleasant wake up from loud tourist in the corridor before 7AM then again when cleaner came. ,8.8
My room was a fair size the bathroom perfectly reasonable the bed was comfortable good choice of lighting options in the room and a view over the rooftops of old Antwerp. Staff are very helpful and friendly. The location is perfect just next to Central station. No tea / coffee making facilities in the room no air con slow lifts. But despite the few shortcomings you get more than you pay for here.,8
I like the location I dont like smart stuff,5
Location is perfect!  5 min walk from the railway station. Touristic bus stop on the square near the railway station Many shops in the area. At about 10 min walk from the hotel is the excellent Argentinian bistro where we had dinner every day. It was terrible hot in the hotel No Air Conditioner. You cannot open the window. I had problems with Internet and have to go to a cafeteria at the Railway Station to use the WiFi there. In the bathroom there was no one shelf no one hook to carry the towel.,5.4
very friendly staff great location and very clean the road works when trying to get into the car park,10
The location is good in front of the train station.The breakfast is Ok I didnt like the breakfast room .  It is an old hotel,5.4
Excellent hotel located right across the train station and great value for money with excellent staff that always help when needed. WiFi was very poor and sometimes cutoff.,9.6
I liked the fact that its very close to the Station. Could have had air-conditioning in the room. I was sweating like the Niagara Falls in the bed.,7.5
Hotel is one minut from Antwerp centraal station which is great. Near by centar good option for those who wants to travel to the other cities like Brugge Gant. Room was really clean and staff was great. ,8.3
Noisy on the sixth floor Noisy on the sixth floor,10
The hotel was centrally located right next to Antwerp Central train station probably 100m away which was a huge bonus especially if carrying around lots of luggage as we were (no need for a taxi). We only stayed one evening but found the room was clean and tidy the bed was comfy and the place offered good value for money The interior of the premises appeared dated but other than that no real faults identified.,7.5
Hotel is very close to railway station but city center could be reached in 10-15 minutes on foot. Our room was small but very clean with big bathroom. Wi-fi didnt work in our room (,9.2
I really liked the location it was really easy and accessible for the train station. The hotel is definitely a budget hotel but I got what I paid for. The staff were very friendly and welcoming. I cant really fault it. Its a budget hotel but thats what I paid for I want expecting the Ritz!,10
Best location.Just in front of the train station with so many resturant around.Metro station is also only150 meters walk.Good price.Comfort bed. Basic hotel.No refrig.No kettle.No aircon.I slept very well here because I stay in October and at high floor.If you stay here in summer and at lower flooreverything may be opposite to my stay!,8.3
Location and view great Bed / mattress and could be cleaner the bathroom,5.8
It is very centrally located out of the central station and the citys zoo.  Other attractions are about 10-15 away if you are at a leisurely pace.  Staff are friendly and the hotel room size is okay. No refrigerator.  Otherwise nothing at all. ,8.8
Nothing. It was hopeless except for location No kettle in roomsThe receptionist had no clarity on the document required while checking inSecurity cameras not workingNo tagging of the bags in reception.,2
Situated right beside the railway station this is a superbly situated hotel especially if like us you are on a flying visit. No complaints at all. ,8.3
Friendly and helpful staff. Very good price. 12 o clock check out. Noisy street old carpet no fridge in the room.,8
The Reception staff were very courteous and professional. The hotel was right next to Antwerps beautiful central station. The shower and bathroom facilities were very good. The first room i stayed in a standard single have poor quality furniture and mattress.  The Second room a standard double was a lot better.,9
You can see these rooms are suffering a lot of partys but still its clean.  Bit small room but was clean for the price i payed it was very ok. ,7
 Internet unstabilty Noise (if room is on street side),7
The receptionist was very kind. We didnt stay since it was so loud and the bed extremely uncomfortable.,1
Breakfast is good.. bed size is very small,8
The location was superb as I had a number of train journeys. It was all good,7.9
Location cleanness of sheets price value for money and 24 hour reception.  There wasnt a shower curtain and shower hanger in the bath. So after 4 people taking shower the bathroom floor was a lake.,7.1
ı like the locations male employees were very rude. Although my check out time was at 15.00 they said to leave before 12 I think they did not know what they were doing.,8
Staff were great. Very friendly and helpful. Location is perfect. Good sized room.  Very very loud. Walls could do with a good wipe.,7.5
This was an ideal location across the street from Antwerp Central train station so getting around is very easy. The staff was friendly. The only downfall was that the mattresses are a bit thin but the price for the length of my stay was very good. The location itself is close to many restaurants and shops so theres a lot to do there! Mattresses are a bit thin.,8.3
Clean center place people nice good price The hotel wifi not good (couldnt connect my work VPN whatsapp video call not working)Chek-out time not clear sayng today without timeNo car parking space,7
Good location for transit near the Central Station.  Lack of elementary facilities : no hairdryer fridge.,7.5
Location was great next to train station. No air conditioning.,7.9
best location and safe place. Room is very good and clean. It is surprise with 2 rooms provided. ,10
Location is great. Beds are not comfortable. Noisy environment. Can hear the cars passing by easily.,5
The hotel was pleasantly staffed and comfortable and in an excellent location. Sometimes there was much noise from guests returning after a night out.,8.8
Its right across the central station and is close to the city center but is not within a lot of noise. Doors closed very loudly and there is barely any soundproofing so if you are a light sleeper you will have a hard time sleeping through it in the morning. The beds were very soft so that might be uncomfortable for some.,5
breakfast OK good location of the hotel poor cleanlinnes not very pleasant staff,3
 The bed had a bad smell.All other things were ok but slepping at that bed was a bit gross.,5
Great locations not far from thw train and bus stations in the hearth of the City.starf are nice ans friendly More effort in room cleaning,10
Very friendly stuff on the lobby. No Mini Bar in the Room. Carpets in the Room have to be changed. In the Restaurant stuff have to react quicker when something missing  because  everything missing  started with refilling of food till juice. I lost my 95 euros  but never mind. ,9
Location was fine Room did not have tea & coffee making facilities Bed in room was unstable due to broken leg. Maintenance man did fix it for subsequent nights. Use of a hair drier required 10 euro deposit and collecting from reception each time it was needed.,6
The shower Carpet was wet and dirty the next rooms costumer make lots of noise,7.9
The room and bathroom were clean. The breakfast was poor because there werent enough tables and there was a 10-15 minute wait to get in and then the people were left to deal with it themselves. We were waiting for 20 min for fresh bread. The butter ran out and didnt get replaced.  We also had to make our own bed why?,6.3
Good price quality deal Breakfast room,6
Only spending 1 night in city and passing through in morning so location outside the train station is perfect nothing to complain about,7.5
location Noise on that level  very very expensive publi parking,8.5
Strategic position in front of Central Station very close to the diamond district. Rooms are OK but dont expect anything even near luxury Extenal door was closed at 930pm!! Rang the bell several times and nobody was there to open. On the door there is a post with a phone to call and guess what wrong number (!) Mosquitos in the room Cheap TV set uneasy to operate,7
Ive booked a 3 person room and actually got a 4 person room. That was a nice surprise. Ive stayed at this hotel before (in 2015) and my experience was the same. Spacious rooms and all the basic facilities you need. Rooms are a bit outdated there are some stains on the carpet and some stains around the bathroom to be expected from hotels this age. Not a big deal for me especially at this price point. If the rooms are refurbished they can easily charge more money.,7.5
Great location comfortable bed big room.  Not 100% clean dysfunctional shower pipe toilet brush missing a bit of noisy area due to city center and centraal station. ,5.8
Location was OK. Bed was not top. WIFI was not working in my room. I had to move to the door to receive connection. Working table was to small.,7.9
Good size room nice easy layout and comfortable bed. Good shower! Mostly the staff were friendly except on checkout day one of the staff were quite miserable.,8
Good location close to station about a 20 minute walk to Groenplaats. Loads of rooms so as we were a party of 16 we could all stay at the same place. It was pretty much as expected from other reviews no frills OK price. Not great not awful. Good for a lads weekend away not the kind of place you would take your partner for a romantic weekend! I loved the city of Antwerp far better than anticipated would definitely visit the city again. ,6.7
The staff were nice and gave us an upgrade ,6
Location is perfect which was the main reason of selection. Based on the price compared with other hotels in same location you get what you paid for. Bed was very comfortable and toilet very clean which is an important factor for me. Table was detached from wall no mini fridge or at least a bottle of water which is 1 EU.  Room could not be more basic. Free internet yes but the basic package so no speed watching a movie on your laptop was out the question. My neighbor room had dogs barking regular surprised they let dogs in a hotel.,5
Baaic hotel matching the price dont expect luxury for $50 per night. Clean good bed room was warm great location. A bit dirty under the bed but nothing awful just some dust.,9
In front of central station. I was surprised to the price for the good room even if Sunday night in winter. Check in time is from 15:00 but the reception kindly accepted me at 14:20. Nothing.,9
Thr distance from the Central station and the shopping center The staff was not kind as it should be at an hotel. It was more like they are forced to work there. Especially the staff in the kitchen,5
Extremely noisy environment during the night hard to sleep with open window. ,6.7
So close to the train station. Comfortable room and nice staff. Nothing,9.2
Convenient location adequate facilities and was good value for money.  I was attacked by spiders on the first night and had to go to hospital in Antwerp the following afternoon. When I informed the staff and requested to change rooms they didnt really care about my well being and just told me they changed the sheets refusing my request of a different room. I didnt feel like a very valued customer in that case but you get what you pay for I suppose. ,7.5
 Mattresses could be replaced - they are old and very not smooth so not so nice to sleep on them.,8.8
A small hotel close to Antwerp Station and many of the tourist attractions. Comfortable bed and clean room and facilities Another hotel with good breakfast and selection of food I am waiting for them to provide tea-making facilities in the rooms,9
Cleaning room You can Heard all life of your neihbourg,6
Very centrally located just opposite the central station. Parking was a very problem we arrived at the hotel late in the evening. We were directed to a parking place. The barrier in the park opened when we took the ticket and closed when we moved behind us but the gate didnt open so we were trapped between the barrier and the gate for about half an hour since everyone had left the parking building and we couldnt reach anyone.,7.1
Location next to station Beds no mini fridge no kettle in the roon,6.3
The only good things: - Beds - Location (ahead of Central Station and Parking nearby) The guy at the reception did not greet us and we had to wait a few minutes before he started to help us. Even then he did not even said hello.  The space in the room was okay the beds were fine and clean. The shower did not even had a holder for the shower the shower curtain was dirty all the buttons in the room were sticky and the heater did not work. There were only two electronical sockets.,5
Excellent location for any transport Beds are not comfortable at all,7
The location is great. There were some loud neighbors on my floor.,8
Location: Top Bathroom: OK Nothing special.,7.9
Loved the central location of the hotel. Everything was within walking distance  (train station restaurants shops  etc.) The rooms were not fancy or big but adequate for amount of time we spent in them. Price was great. Will definitely return. The only negative thing that caught my attention were the carpets! They were very old with some dubious stains. With the beds being very low you could see everything!,7.9
Hotel right near central station. Very freindly and helpful staff. Fast WLAN. The matrasses are too soft for me. Worn out carpet.,8
Room was clean. Very good location. Value for the money. Neibour rooms one night were very noisy and comming and going arrount among their rooms at night.,7
Location is great. Simple and clean as we wanted. Helpfull staff Nothing considering the price and the returns value ,8
Location is next to the Central station literally can walk into through the left gate next to the Panos coffee shop The room is just good if need a room cheap WiFi sucks when not close to door it not even a single bar the room bad mattress is low and not good for people with back prob the electrical sockets is weird with no adaptor available reception service at night pretty rude.,4.6
